attempt,val_macro_f1,w_config-resnet,w_config-efficientnet,w_config-convnext
146,0.7933095693588257,0.4,0.25,0.35
147,0.7931358814239502,0.4,0.3,0.3
148,0.7924045324325562,0.4,0.35,0.25
149,0.7927071452140808,0.4,0.4,0.2
150,0.7927077412605286,0.4,0.45,0.15
151,0.7907086610794067,0.4,0.5,0.1
152,0.7892941236495972,0.4,0.55,0.05
153,0.7890756130218506,0.4,0.6,0.0
154,0.7860521078109741,0.45,0.0,0.55
155,0.7884818911552429,0.45,0.05,0.5
156,0.7902621626853943,0.45,0.1,0.45
157,0.7915594577789307,0.45,0.15,0.4
158,0.792880654335022,0.45,0.2,0.35
159,0.7925429940223694,0.45,0.25,0.3
160,0.7919972538948059,0.45,0.3,0.25
161,0.7908023595809937,0.45,0.35,0.2
162,0.79172283411026,0.45,0.4,0.15
163,0.7900142073631287,0.45,0.45,0.1
164,0.7879343032836914,0.45,0.5,0.05
165,0.7886886596679688,0.45,0.55,0.0
166,0.7866801023483276,0.5,0.0,0.5
167,0.7874836325645447,0.5,0.05,0.45
168,0.7894085049629211,0.5,0.1,0.4
169,0.7902621626853943,0.5,0.15,0.35
170,0.7917238473892212,0.5,0.2,0.3
171,0.7897747755050659,0.5,0.25,0.25
172,0.7914169430732727,0.5,0.3,0.2
173,0.7914243936538696,0.5,0.35,0.15
174,0.7895463705062866,0.5,0.4,0.1
175,0.7871224880218506,0.5,0.45,0.05
176,0.7872047424316406,0.5,0.5,0.0
177,0.7861568331718445,0.55,0.0,0.45
178,0.7873424887657166,0.55,0.05,0.4
179,0.7887619137763977,0.55,0.1,0.35
180,0.7889559268951416,0.55,0.15,0.3
181,0.7897589802742004,0.55,0.2,0.25
182,0.7883706092834473,0.55,0.25,0.2
183,0.7905603647232056,0.55,0.3,0.15
184,0.7891128659248352,0.55,0.35,0.1
185,0.7870023846626282,0.55,0.4,0.05
186,0.7855240702629089,0.55,0.45,0.0
187,0.7835070490837097,0.6,0.0,0.4
188,0.786075234413147,0.6,0.05,0.35
189,0.7871034145355225,0.6,0.1,0.3
190,0.7876835465431213,0.6,0.15,0.25
191,0.7869211435317993,0.6,0.2,0.2
192,0.7861077189445496,0.6,0.25,0.15
193,0.7887130379676819,0.6,0.3,0.1
194,0.7868742942810059,0.6,0.35,0.05
195,0.7849573493003845,0.6,0.4,0.0
196,0.7828226089477539,0.65,0.0,0.35
197,0.7844605445861816,0.65,0.05,0.3
198,0.7858679294586182,0.65,0.1,0.25
199,0.7857860922813416,0.65,0.15,0.2
200,0.7853050827980042,0.65,0.2,0.15
201,0.7872843146324158,0.65,0.25,0.1
202,0.7865197658538818,0.65,0.3,0.05
203,0.7841509580612183,0.65,0.35,0.0
204,0.7807477712631226,0.7,0.0,0.3
205,0.783409833908081,0.7,0.05,0.25
206,0.7829596996307373,0.7,0.1,0.2
207,0.784675657749176,0.7,0.15,0.15
208,0.7847828269004822,0.7,0.2,0.1
209,0.7850837707519531,0.7,0.25,0.05
210,0.7834546566009521,0.7,0.3,0.0
211,0.7793824076652527,0.75,0.0,0.25
212,0.7819880843162537,0.75,0.05,0.2
213,0.7823793292045593,0.75,0.1,0.15
214,0.7841632962226868,0.75,0.15,0.1
215,0.7843108773231506,0.75,0.2,0.05
216,0.7829000949859619,0.75,0.25,0.0
217,0.7794104218482971,0.8,0.0,0.2
218,0.7808749079704285,0.8,0.05,0.15
219,0.7819023132324219,0.8,0.1,0.1
220,0.7829110622406006,0.8,0.15,0.05
221,0.7828111052513123,0.8,0.2,0.0
222,0.7797548174858093,0.85,0.0,0.15
223,0.7818129062652588,0.85,0.05,0.1
224,0.7823286652565002,0.85,0.1,0.05
225,0.7818014621734619,0.85,0.15,0.0
226,0.7774525880813599,0.9,0.0,0.1
227,0.779213547706604,0.9,0.05,0.05
228,0.7798143625259399,0.9,0.1,0.0
229,0.7767964601516724,0.95,0.0,0.05
230,0.7778022289276123,0.95,0.05,0.0
231,0.7748921513557434,1.0,0.0,0.0
